date,text,Pump,Exchange,Coin,Notes
2020-11-20T10:35:29,,,,,
2020-11-20T10:36:11,,,,,
2020-11-20T11:06:16,,,,,
2020-11-20T11:06:27,,,,,
2020-11-20T11:06:49,"Welcome to our channel specializing in cryptocurrency. We are a group of independent traders who select a currency to increase its price by 20-30%. Our goal is to have a better impact with a large community and increase price by 100-150%☑️

We are totally independent from other groups of ""Pump and Dump"" which should be avoided because of many scammers. 

Stay tuned, 

Best regards.",,,,
2020-11-20T15:25:01,"[{'type': 'underline', 'text': 'Signal Binance Day'}, ' ☑️\n\n◽️Date: Friday, 27 November \n◽️Time: 21:00 PM \n◽️Exchange: ', {'type': 'text_link', 'text': 'Binance.com', 'href': 'https://www.binance.com/en/register?ref=DUMVLUQR'}, '\n\nThis signal is free for everyone. Everyone will get a coin at the same time. \n\nStay tuned,\n\nBest regards.']",,,,
2020-11-20T15:26:30,,,,,
2020-11-20T20:57:12,,,,,
2020-11-22T20:09:45,"['Hello,\n\n', {'type': 'bold', 'text': 'We don’t sell VIP'}, "". \n\nThe only person who buys the Coin before you it's me and my team and we do it to make our push profitable for our participants. \n\nStay tuned, "", {'type': 'bold', 'text': 'Less than 5 Days'}, ' ☑️\n\nBest regards.']",,,,
2020-11-24T11:03:15,"['Hello new members,\n\n', {'type': 'bold', 'text': 'Stay tuned, less than 3 days'}, ' ☑️\n\nIt will be huge pump ! 20-30%\n\nWe will get more people for the next signal to increase price by 100-150% ☑️\n\nBest regards.']",,,,
2020-11-25T14:44:48,"['Hello,\n\n', {'type': 'bold', 'text': 'Stay tuned, less than 2 Days'}, ' ☑️\n\n◽️Date: Friday, 27 November \n◽️Time: 21:00 PM GMT\n◽️Exchange: ', {'type': 'text_link', 'text': 'Binance', 'href': 'https://www.binance.com/en/register?ref=DUMVLUQR'}, '\n\n\nBest regards.']",,,,
2020-11-26T11:24:44,"['Hello,\n\n', {'type': 'bold', 'text': 'Stay tuned, less than 24h '}, 'until the next Pump on ', {'type': 'text_link', 'text': 'Binance', 'href': 'https://www.binance.com/en/register?ref=DUMVLUQR'}, ' ☑️\n\nNow you can promote our channel so that we have as many people as possible. This pump will be very huge !\n\nBest regards.']",,,,
2020-11-27T09:24:18,"Hello all new traders,

get ready for the next pump which will be very soon ☑️

Best regards.",,,,
2020-11-27T11:00:06,"[{'type': 'bold', 'text': 'Stay tuned, less than 12 h '}, '☑️\n\nHow to buy fast on Binance:\n\n1) Select ""Market"" Order \n\n2) Select Percent of your total BTC you wish to use. 75% is best to use to avoid conflicts with orders not filling. \n\n3) Click ""Buy""']",,,,
2020-11-27T11:00:06,,,,,
2020-11-27T11:00:06,"[{'type': 'underline', 'text': 'It’s not the signal, it’s an exemple'}, '']",,,,
2020-11-27T11:05:11,"[""Our mission during the pump ☑️\n\n1. When you buy the coin do not buy 100% market directly in the first minute. Instead buy try buying with 50/75% of your balance and later use the rest for rebuying the dip. The aim is to buy and rebuy slowly for continued growth. We advise to not invest more than 75% of your capital in the first minute.\n\n2. After you have invested the first part of your funds start promoting the coin everywhere on social media. \n\n3. Our principal mission is to Buy the coin and sell to binance outsiders over 100%. NEVER PANIC SELL! If the coin drops in short time you don't need to be scarred its not the moment to sell but rebuy the dip and go to a new higher. This time we are sure that we will pump to 100% with the combined power of everyone. Do not look to sell quickly, look to sell for max gains over the course of the signal, this could be up to an hour or more.\n\n4. When you want sell, do not sell 100% at once, slowly sell (25% at a time). Doing this you will sell in a bigger price so more profit, not cause panic on the market and will aid the signal a lot.\n\n\n"", {'type': 'bold', 'text': 'Things you need in order to join'}, '☑️\n\n1) A ', {'type': 'text_link', 'text': 'binance.com', 'href': 'https://www.binance.com/en/register?ref=DUMVLUQR'}, ' account loaded with bitcoin\n\n2) To watch this channel 24 hours from now\n\n3) Buy the target coin asap after the announcement\n\n4) Help promote the coin news\n\n5) Profit and brag to your friends to help us grow\n\nBest regards.']",,,,
2020-11-27T17:02:29,"['Our whales are more than ready… are YOU??\n', {'type': 'bold', 'text': '\n'}, 'Inform your friends about the pump! We ask all new users to read the pinned post.\n\nMake sure PIN ☑️our channel on top & ', {'type': 'bold', 'text': 'be ready at 09 PM GMT today!'}, '\n\n☑️', {'type': 'bold', 'text': 'Read The Pump Plan In The Pinned Post'}, '\n\n', {'type': 'bold', 'text': 'Less than 6 h ☑️\n\n'}, 'Best regards.']",,,,
2020-11-27T18:00:05,"[{'type': 'bold', 'text': 'Stay tuned, less than 5 h '}, '☑️\n\nBest regards.']",,,,
2020-11-27T22:00:07,"[{'type': 'bold', 'text': 'Stay tuned, less than 1 h '}, '☑️\n\nBest regards.']",,,,
2020-11-27T22:30:07,"[{'type': 'bold', 'text': 'Stay tuned, less than 30 minutes'}, '☑️\n\nBest regards.']",,,,
2020-11-27T22:55:06,"[{'type': 'bold', 'text': 'Stay tuned, less than 5 minutes'}, '☑️\n\nBest regards.']",,,,
2020-11-27T22:59:06,"[{'type': 'bold', 'text': 'Get ready, it’s time'}, ' ☑️']",,,,
2020-11-27T23:00:06,"[{'type': 'link', 'text': 'https://www.binance.com/fr/trade/MDA_BTC'}]",,,,
2020-11-27T23:00:06,☑️ MDA / BTC ☑️,1.0,binance,mda/btc,
2020-11-27T23:53:21,,,,,
2020-11-28T18:57:56,"[{'type': 'underline', 'text': 'Signal Binance Day'}, ' ☑️\n\n◽️Date: Wednesday, 02 December \n◽️Time: 18:00 PM GMT\n◽️Exchange: ', {'type': 'text_link', 'text': 'Binance.com', 'href': 'https://www.binance.com/en/register?ref=DUMVLUQR'}, '\n\nThe ALT season of december is coming and we will start this month strong with a huge 50%+ pump! The signal will be free for all and everyone will be able to buy at a good price. The FOMO will be massive and we can be sure to see amazing results in our upcoming pump.\n\nBest regards.']",,,,
2020-11-28T18:58:32,,,,,
2020-11-30T17:17:44,BTC BULLISH 🚀,,,,
