date,text,Pump,Exchange,Coin,Notes
2019-11-30T15:22:25,,,,,
2019-11-30T15:45:21,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members in just 8 minutes  💰🤑👇",,,,
2019-11-30T15:45:31,"[{'type': 'hashtag', 'text': '#NEBL'}, '\nBuy zone ', {'type': 'phone', 'text': '6200-6350'}, '\nSell zone 6700-7000-7700-8500+']",,,,
2019-11-30T15:47:04,"[{'type': 'hashtag', 'text': '#nebl'}, ' result \n1st target achieved within 8 minutes✅\n\nVery quick profit 9.7%in just 8 minutes💰💰\n\nAmazing calls by our team 👍\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-11-30T15:47:26,"[{'type': 'hashtag', 'text': '#nebl'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-11-30T15:47:47,,,,,
2019-11-30T15:48:14,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 35 minutes 💰🤑👇",,,,
2019-11-30T15:48:20,"[{'type': 'hashtag', 'text': '#DATA'}, '\nBuy zone 310-320\nSell zone 335-350-372-420+']",,,,
2019-11-30T15:49:18,"[{'type': 'hashtag', 'text': '#data'}, ' result \n1st target achieved within 35 minutes ✅\n\nVery quick profit 9% in just 35 minutes 💰\n\nCongrats premium members 🎊👑🤑💰\n\nStill thinking and losing daily quick profit ?\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, ' for premium membership and earn huge with us']",,,,
2019-11-30T15:50:20,"[{'type': 'hashtag', 'text': '#data'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-11-30T15:50:24,,,,,
2019-11-30T15:50:54,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 40 minutes 💰🤑👇",,,,
2019-11-30T15:51:19,"[{'type': 'hashtag', 'text': '#FET'}, '\nBuy zone 700-725\nSell zone 750-790-850-950+']",,,,
2019-11-30T15:52:36,"[{'type': 'hashtag', 'text': '#fet'}, "" result \n1st target achieved within 40 minutes✅\n\nVery quick profit 6% in just 40 minutes 💰\n\nAmazing calls by our team 👍\n\nDon't miss next one. Hurry up 🏃\u200d♂\n\n☎️ Contact "", {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-11-30T15:53:15,"[{'type': 'hashtag', 'text': '#fet'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-11-30T15:53:35,,,,,
2019-12-02T03:04:48,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 40 minutes 💰🤑👇",,,,
2019-12-02T03:05:01,"[{'type': 'hashtag', 'text': '#PPT'}, '\nBuy zone ', {'type': 'phone', 'text': '7600-7700'}, '\nSell zone 8000-8473-9280-10490+']",,,,
2019-12-02T03:06:37,"[{'type': 'hashtag', 'text': '#ppt'}, ' result \n2nd target achieved within 37 minutes ✅✅\n\nVery quick profit 13%💰💰\n\nCongrats premium members 🎊👑\n\nStill thinking and losing daily profit?\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, ' premium membership and earn huge with us']",,,,
2019-12-02T03:24:32,"[{'type': 'hashtag', 'text': '#ppt'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T03:57:24,"Told you👆

You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 7 minutes 💰🤑👇",,,,
2019-12-03T03:57:50,"[{'type': 'hashtag', 'text': '#BRD'}, '\nBuy zone ', {'type': 'phone', 'text': '4800-5000'}, '\nSell zone 5200-5400-5800-6500+']",,,,
2019-12-03T03:59:04,"[{'type': 'hashtag', 'text': '#brd'}, ' result \n2nd target achieved within 7 minutes✅✅\n\nVery quick profit 12% in just 7 minutes 💰💰🤑\n\nAmazing calls by our team 👍\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, ' for premium membership and earn huge with us']",,,,
2019-12-03T03:59:39,"[{'type': 'hashtag', 'text': '#brd'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T04:01:10,,,,,
2019-12-03T04:01:32,"['Told you👆\n\n', {'type': 'bold', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more quick profit for premium members within 1.5 hour 💰🤑👇'}, '']",,,,
2019-12-03T04:01:48,"[{'type': 'hashtag', 'text': '#LUN'}, ' \nBuy zone ', {'type': 'phone', 'text': '1300-1370'}, ' \nSell zone 1450-1540-1680-1950+']",,,,
2019-12-03T04:02:34,"[{'type': 'hashtag', 'text': '#lun'}, ' result \n1st target achieved within 1.5 hour✅\n\nOne more quick profit 10%💰\n\nStill more quick profit signals available in premium channel. Hurry up 🏃\u200d♂🏃\u200d♂\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T04:03:02,"[{'type': 'hashtag', 'text': '#lun'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T04:08:09,,,,,
2019-12-03T04:09:08,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 10 hour💰🤑👇",,,,
2019-12-03T04:09:23,"[{'type': 'hashtag', 'text': '#LEND'}, '\nBuy zone 185-190\nSell zone 199-209-229-259-300+']",,,,
2019-12-03T04:10:28,"[{'type': 'hashtag', 'text': '#lend'}, ' result \n2nd target achieved within 12 hour✅\n\nOne more quick profit 11%💰\n\nCongrats premium members 🎊👑\n\nAmazing calls by our team 👍\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, ' for premium membership and earn huge with us']",,,,
2019-12-03T04:11:49,,,,,
2019-12-03T04:11:54,"[{'type': 'hashtag', 'text': '#lend'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T04:11:58,,,,,
2019-12-03T04:17:15,"['‼️50℅ off on lifetime VIP\nmembership.\nBlack Friday discount.\n\n🔥Hurry up.🏃\u200d♂🏃\u200d♂. Limited Slots Available now. Offer ends by 12 pm tomorrow.\n\n☎️ ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T04:17:24,,,,,
2019-12-03T04:17:42,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 22 hour 💰🤑👇",,,,
2019-12-03T04:17:56,"[{'type': 'hashtag', 'text': '#BNT'}, '\nBuy zone ', {'type': 'phone', 'text': '3450-3560'}, '\nSell zone 3800-3980-4350-4800+']",,,,
2019-12-03T04:19:00,"[{'type': 'hashtag', 'text': '#bnt'}, ' result \n1st target achieved within 22 hour✅\n\nOne more quick profit 10%💰💰\n\nAmazing calls by our team 👍\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T04:19:33,"[{'type': 'hashtag', 'text': '#bnt'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T17:33:35,"[""Again reminding you, don't miss out 👇\n\nFew more quick profit signals just added in premium channel which gives you easy 10-20% profit within 24 hour 👇👇\n\nChoice is yours 👍\n\n☎ Contact "", {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:34:03,,,,,
2019-12-03T17:34:48,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 45 minutes 💰🤑👇",,,,
2019-12-03T17:35:00,"[{'type': 'hashtag', 'text': '#ERD'}, '\nBuy zone 27-28\nSell zone 31-33-36-40-50+']",,,,
2019-12-03T17:35:39,"[{'type': 'hashtag', 'text': '#erd'}, ' result \n1st target achieved within 45 minutes ✅\n\nVery quick profit 10%💰💰\n\nStill more quick profit signals available in premium channel. Hurry up 🏃\u200d♂🏃\u200d♂\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:36:04,"[{'type': 'hashtag', 'text': '#erd'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T17:37:44,"[""Again reminding you, don't miss out 👇\n\nFew more quick profit signals just added in premium channel which gives you easy 10-20% profit within 24 hour 👇👇\n\nChoice is yours 👍\n\n☎ Contact "", {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:37:52,,,,,
2019-12-03T17:40:45,"['Binance Pumps Signals 💯:\n🔥🔥 November profit results 💰💰 \n\n〰〰〰〰1st November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' 18% within 16 hour \n✅ ', {'type': 'hashtag', 'text': '#wabi'}, ' 7.5% within 16.5 hour \n\n〰〰〰〰2nd November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#mtl'}, ' 33% within few days \n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 80% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#celr'}, ' 9% within 4 days \n✅ ', {'type': 'hashtag', 'text': '#wpr'}, ' 10% within 3 days \n\n〰〰〰〰3rd November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#nkn'}, ' 18% within 3.5 days \n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 31% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#nxs'}, ' 10% within 22 hour \n✅  ', {'type': 'hashtag', 'text': '#beam'}, ' 6% within 1 hour \n\n\n〰〰〰〰4th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#hbar'}, ' 18% within 3 days \n✅ ', {'type': 'hashtag', 'text': '#beam'}, ' 19% within 21 hour \n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 54% within 6 days \n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' rebuy 15% within 10 minutes \n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 22% within 2.5 hour \n✅ ', {'type': 'hashtag', 'text': '#kmd'}, ' 11% within 2 hour \n\n〰〰〰〰5th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' 26% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#poe'}, ' 7.6% within 6 minutes \n✅ ', {'type': 'hashtag', 'text': '#perl'}, ' 12% within 2 days \n✅ ', {'type': 'hashtag', 'text': '#nebl'}, ' 5% within 5 minutes \n✅ ', {'type': 'hashtag', 'text': '#matic'}, ' 5% within 4 hour \n✅ ', {'type': 'hashtag', 'text': '#iost'}, ' 8.3% within 3 hour \n\n〰〰〰〰6th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#arpa'}, ' 15% within 1 hour \n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 6.5% within 5 minutes \n✅ ', {'type': 'hashtag', 'text': '#cdt'}, ' 6% within 2 minutes \n✅ ', {'type': 'hashtag', 'text': '#phb'}, ' 9% within 23 hour \n✅ ', {'type': 'hashtag', 'text': '#iotx'}, ' 22% within 1 hour(free signal) \n\n〰〰〰〰7th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#arpa'}, ' 64% within 8.5 hour(breakout signal) \n✅ ', {'type': 'hashtag', 'text': '#tnt'}, ' 12% within 1.5 hour \n✅ ', {'type': 'hashtag', 'text': '#xtz'}, ' 20% within 4 hour \n✅ ', {'type': 'hashtag', 'text': '#vet'}, ' 12% within 10 minutes \n\n〰〰〰〰8th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 13% within 4 hour \n✅ ', {'type': 'hashtag', 'text': '#vet'}, ' 20% within 18 hour \n\n〰〰〰〰9th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#cdt'}, ' 20% within 3 days \n✅ ', {'type': 'hashtag', 'text': '#nkn'}, ' 68% within 1 day \n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 7.5% within 21 hour \n✅ ', {'type': 'hashtag', 'text': '#arpa'}, ' 12% within 16 hour \n✅ ', {'type': 'hashtag', 'text': '#beam'}, ' 6.3% within 9.5 hour \n\n〰〰〰〰10th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#LEND'}, ' 7.2% within 50 minutes \n\n〰〰〰〰11th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#PIVX'}, ' 12% within 1.5 hour \n✅ ', {'type': 'hashtag', 'text': '#DATA'}, ' 8.4% within 5 minutes(Free signal) \n✅ ', {'type': 'hashtag', 'text': '#LEND'}, ' 15% within 1 day \n✅ ', {'type': 'hashtag', 'text': '#BLZ'}, ' 16% within 2.5 hour \n✅ ', {'type': 'hashtag', 'text': '#WABI'}, ' 22% within 3 hour \n✅ ', {'type': 'hashtag', 'text': '#RLC'}, ' 22% within 4 days \n\n〰〰〰〰12th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#xlm'}, ' 5% within 13 hour \n✅ ', {'type': 'hashtag', 'text': '#snm'}, ' 5.3% within 30 minutes \n✅ ', {'type': 'hashtag', 'text': '#nuls'}, ' 5% within 45 minutes \n✅ ', {'type': 'hashtag', 'text': '#cdt'}, ' 28% within 6 days \n✅ ', {'type': 'hashtag', 'text': '#go'}, ' 8.6% within 21 hour \n✅ ', {'type': 'hashtag', 'text': '#neo'}, ' 12% within 2 days \n✅ ', {'type': 'hashtag', 'text': '#iost'}, ' 13.6% within 3 days \n✅ ', {'type': 'hashtag', 'text': '#cdt'}, ' rebuy 7% within 5 hour \n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' 12.5% within 22 hours \n\n〰〰〰〰13th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#cdt'}, ' 8% within 2.5 hour \n✅ ', {'type': 'hashtag', 'text': '#link'}, ' 16% within 4 days \n✅ ', {'type': 'hashtag', 'text': '#beam'}, ' 18% within 4 days \n✅ ', {'type': 'hashtag', 'text': '#kmd'}, ' 11.4% within 7 hours \n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 5.5% within 7.5 hour \n✅ ', {'type': 'hashtag', 'text': '#nkn'}, ' 8.6% within 11.5 hour \n\n〰〰〰〰14th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#amb'}, ' 9.3% within 12 hour \n✅ ', {'type': 'hashtag', 'text': '#lend'}, ' 39% within 4 days \n✅ ', {'type': 'hashtag', 'text': '#vet'}, ' 48% within 7 days \n✅ ', {'type': 'hashtag', 'text': '#vib'}, ' 30% within 3 days \n\n〰〰〰〰15th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#dlt'}, ' 16% within 2 days \n✅ ', {'type': 'hashtag', 'text': '#rdn'}, ' 17% within 1 day \n✅ ', {'type': 'hashtag', 'text': '#zen'}, ' 50% within 7 days \n✅ ', {'type': 'hashtag', 'text': '#xvg'}, ' 8.3% within 20 minutes \n\n〰〰〰〰16th November 〰〰〰 \n✅  ', {'type': 'hashtag', 'text': '#go'}, ' 15% within 21 hours \n✅  ', {'type': 'hashtag', 'text': '#kava'}, ' 9% within 13 hour \n✅ ', {'type': 'hashtag', 'text': '#lend'}, ' 26% within 11.5 hour \n✅  ', {'type': 'hashtag', 'text': '#dock'}, ' 9% within 27 hour \n\n〰〰〰〰17th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 48% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#zil'}, ' 9% within 19 hour \n✅ ', {'type': 'hashtag', 'text': '#arpa'}, ' 5% within 75 minutes \n✅ ', {'type': 'hashtag', 'text': '#rlc'}, ' 41% within 4 days\n✅ ', {'type': 'hashtag', 'text': '#sky'}, ' 6.1% within 1 days \n\n〰〰〰〰18th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#kmd'}, ' 17% within 5 days \n✅ ', {'type': 'hashtag', 'text': '#go'}, ' 26% within 4 days\n✅ ', {'type': 'hashtag', 'text': '#vib'}, ' 60% within 6 days\n✅ ', {'type': 'hashtag', 'text': '#sngls'}, ' 11% within 17 hour\n✅ ', {'type': 'hashtag', 'text': '#req'}, ' 16% within 21 hour\n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 7% within 15 minutes\n\n〰〰〰〰19th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#yoyo'}, ' 84% within few days \n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' 7.6% within 15 hour\n✅ ', {'type': 'hashtag', 'text': '#yoyo'}, ' rebuy 7% within 22 minutes \n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 45% within few days\n✅ ', {'type': 'hashtag', 'text': '#rkava'}, ' rebuy 8% within 1.5 hour\n\n〰〰〰〰20th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#lun'}, ' 12% within 35 hour \n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' 14% within 28 hour\n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 22% within 18 hour\n\n〰〰〰〰21st November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#xtz'}, ' 40% within few days \n✅ ', {'type': 'hashtag', 'text': '#edo'}, ' 10% pump result \n✅ ', {'type': 'hashtag', 'text': '#vib'}, ' 60% within 6 days\n✅ ', {'type': 'hashtag', 'text': '#sngls'}, ' 11% within 17 hour\n✅ ', {'type': 'hashtag', 'text': '#req'}, ' 16% within 21 hour\n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 7% within 15 minutes\n\n〰〰〰〰22nd November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#key'}, ' 176% within 19 hour \n✅ ', {'type': 'hashtag', 'text': '#storm'}, ' 38% within 18 hour\n✅ ', {'type': 'hashtag', 'text': '#mft'}, ' 26% within 18 hour\n✅ ', {'type': 'hashtag', 'text': '#dnt'}, ' 6% within 21 hour\n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 9% within 1.5 hour\n✅ ', {'type': 'hashtag', 'text': '#sc'}, ' 9% within 30 minutes \n✅ ', {'type': 'hashtag', 'text': '#ctxc'}, ' 10% within 5 minutes \n✅ ', {'type': 'hashtag', 'text': '#doge'}, ' 6.4% within 5 hour\n✅ ', {'type': 'hashtag', 'text': '#kava'}, ' 8% within 6 hour\n\n〰〰〰〰23rd November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 20% within 24 hour \n✅ ', {'type': 'hashtag', 'text': '#matic'}, ' 47% within few days\n✅ ', {'type': 'hashtag', 'text': '#xtz'}, ' 68% within few days\n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 11.4% within 22 minutes \n✅ ', {'type': 'hashtag', 'text': '#ctxc'}, ' 9% within 4.5 hour\n✅ ', {'type': 'hashtag', 'text': '#go'}, ' 10% within 34 hour \n\n〰〰〰〰24th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#data'}, ' 56% within 20 hour(breakout signal)\n✅ ', {'type': 'hashtag', 'text': '#chz'}, ' 17% within 10 hour\n✅ ', {'type': 'hashtag', 'text': '#stx'}, ' 13% within 23 hour\n✅ ', {'type': 'hashtag', 'text': '#go'}, ' 18% within 2 days\n✅ ', {'type': 'hashtag', 'text': '#sngls'}, ' 9.5% within 7 hour\n\n〰〰〰〰25th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#data'}, ' 1055% within 34 hour \n✅ ', {'type': 'hashtag', 'text': '#snm'}, ' 75% within few days\n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' 108% within few days\n✅ ', {'type': 'hashtag', 'text': '#dnt'}, ' 61% within few days\n✅ ', {'type': 'hashtag', 'text': '#ost'}, ' 14% within 9 minutes \n✅ ', {'type': 'hashtag', 'text': '#cnd'}, ' 1']",,,,
2019-12-03T17:41:18,"['1% within 3 minutes \n✅ ', {'type': 'hashtag', 'text': '#vib'}, ' 118% within few days \n✅ ', {'type': 'hashtag', 'text': '#bcpt'}, ' 14% within 3.5 hour \n✅ ', {'type': 'hashtag', 'text': '#dlt'}, ' 30% within 2.5 hour \n✅ ', {'type': 'hashtag', 'text': '#nav'}, ' 33% within 4 minutes \n✅ ', {'type': 'hashtag', 'text': '#snm'}, ' 26% within 1.5 hour\n✅ ', {'type': 'hashtag', 'text': '#kmd'}, ' 8% within 8 hour\n✅ ', {'type': 'hashtag', 'text': '#wpr'}, ' 13% within 1 hour \n✅ ', {'type': 'hashtag', 'text': '#amb'}, ' 20% within 6 hour \n\n〰〰〰〰26th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#dnt'}, ' 19% within 9 hour \n✅ ', {'type': 'hashtag', 'text': '#wpr'}, ' 22% within 6 hour\n✅ ', {'type': 'hashtag', 'text': '#req'}, ' 26% within 17 hour\n✅ ', {'type': 'hashtag', 'text': '#perl'}, ' 17% within 24 hour\n✅ ', {'type': 'hashtag', 'text': '#rdn'}, ' 10% within 3 minutes \n✅ ', {'type': 'hashtag', 'text': '#pivx'}, ' 68% within few days \n✅ ', {'type': 'hashtag', 'text': '#nebl'}, ' 33% within few days \n✅ ', {'type': 'hashtag', 'text': '#lun'}, ' 18% within 24 hour \n✅ ', {'type': 'hashtag', 'text': '#arpa'}, ' 11% within 2.5 hour \n\n〰〰〰〰27th November 〰〰〰 \n✅ ', {'type': 'hashtag', 'text': '#dock'}, ' 16% within 3 days \n✅ ', {'type': 'hashtag', 'text': '#vet'}, ' 17% within 3 days\n✅ ', {'type': 'hashtag', 'text': '#band'}, ' 11% within 17 hour\n✅ ', {'type': 'hashtag', 'text': '#key'}, ' 25% within 45 minutes \n✅ ', {'type': 'hashtag', 'text': '#eng'}, ' 42% within few days \n✅ ', {'type': 'hashtag', 'text': '#nas'}, ' 8% within 1 day \n\n👉 All results shared above with screenshot. You can scroll up and check \n\nYou could earn premium fees within a day💰💰 \n\n☎ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:42:20,,,,,
2019-12-03T17:42:39,"You missed one more profit 😢

😂🙈
Here is one more quick profit for premium members within 15 minutes 💰🤑👇",,,,
2019-12-03T17:42:45,"[{'type': 'hashtag', 'text': '#DATA'}, '\nBuy zone 340-350\nSell zone 365-380-420-480+']",,,,
2019-12-03T17:46:19,"[{'type': 'hashtag', 'text': '#data'}, ' result \n1st target achieved in just 15 minutes ✅\n\nVery quick profit 7% within 15 minutes 🤑💰\n\n☎️ Contact ', {'type': 'mention', 'text': '@StephenAndPump'}, '']",,,,
2019-12-03T17:46:54,"[{'type': 'hashtag', 'text': '#data'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2019-12-03T17:46:56,,,,,
