date,text,Pump,Exchange,Coin,Notes
2017-09-22T17:50:49,,,,,
2018-04-13T06:47:37,,,,,
2018-04-13T06:48:29,"['As the market is looking amazing right now, we have scheduled our pump! \n\nThe details are as follows:\nExchange: Binance\nDate: ', {'type': 'phone', 'text': '14-04-2018'}, '\nTime 5PM GMT\nAdvantage: The pump will be Free-For-All (FFA)\nFor a live countdown, refer to our website and register: ', {'type': 'link', 'text': 'https://bigpumpsignal.com/invite-v103wlb1sr'}]",,,,
2018-04-13T06:49:07,"['Coin name is ', {'type': 'hashtag', 'text': '#GRS'}, '\n\nBuy and Hold \n\n🔥🔥🚀🔥']",,,,
2018-04-18T07:38:10,,,,,
2018-04-18T07:45:47,"[{'type': 'hashtag', 'text': '#GRS'}, '  hit 43k\n362% pure profit']",,,,
2018-04-18T07:53:47,"👉 PUMP ANNOUNCEMENT 👈
 
Exchange: Binance 👍
Time: 17GMT 🕒
Date: 18 April 2018 👌

Get Ready For Profit Ride 🚀🚀",,,,
2018-04-18T07:54:05,,,,,
2018-04-18T07:54:25,11 hours left ....,,,,
2018-04-18T07:54:50,Transfer your fund to Binance...,,,,
2018-04-18T09:18:56,"['Coin ', {'type': 'hashtag', 'text': '#CND'}, ' at ', {'type': 'hashtag', 'text': '#Binance'}, '\nBuy Between 1115-1125 satoshi\n\nSell at 1400\n1500']",,,,
2018-04-18T09:19:54,"Less than 10 hours left before Mega binance pump


Be ready.......",,,,
2018-04-18T17:22:35,Less than 2 hour left,,,,
2018-04-18T17:31:21,"We have decided to start pump early....
3:45 GMT Pm
9:15 IST",,,,
2018-04-18T17:31:21,15 minutes to go,,,,
2018-04-18T17:31:22,Be ready,,,,
2018-04-18T17:40:13,Almost 5 minutes left,,,,
2018-04-18T17:43:34,The coin that we are going to announce also up and will go more up ....buy and hold at least 6 hours..,,,,
2018-04-18T17:43:48,2 minutes to go,,,,
2018-04-18T17:45:07,"['The Pump coin is\n\n', {'type': 'hashtag', 'text': '#LEND'}]",1.0,binance,lend/btc,
2018-04-18T17:46:00,Good luck,,,,
2018-04-19T05:51:18,"Lend hit 1210
48% profit....👍👍👍👍",,,,
2018-04-19T05:54:02,Yesterday all got profit from lend....,,,,
2018-04-19T06:20:34,"🚀BIG PUMP IS COMING🚀

Next HOLD Pump:  April 19

🕦 5 GMT PM
🏛 Exchange: Cryptopia
💵 Pair: _ _ / BTC

💰Please prepare your BTC on Cryptopia. 💰
🌛🚀Be ready to visit the Moon. 🚀🌛",,,,
2018-04-19T06:20:49,,,,,
2018-04-19T18:17:57,43 minutes left,,,,
2018-04-19T18:21:16,"39 minutes left 🚀🌒

The coin that we have chosen for today can break 205% gain! 💰

You would never like to miss this kind of Pump.
Please prepare your BTC on Cryptopia. 🚀💰",,,,
2018-04-19T19:00:39,"[""LET'S GO !!!\n\nThe coin to pump is: PLX\n\nDIRECT LINK = > "", {'type': 'link', 'text': 'https://www.cryptopia.co.nz/Exchange?market=PLX_BTC'}, '\n\nBuy buy buy, hold and promote the coin on the chatbox\n', {'type': 'link', 'text': 'https://www.cryptopia.co.nz/Chat'}]",1.0,cryptopia,plx/btc,
2018-04-19T19:52:07,Pump result 20% profit...,,,,
2018-04-19T20:00:46,"[{'type': 'hashtag', 'text': '#ZIL'}, '\n\nBuy 800sat\n\nSell 900-950-1000-1050']",,,,
2018-04-19T20:01:23,"[{'type': 'hashtag', 'text': '#BRD'}, '\n\nBuy now']",,,,
2018-04-20T08:49:32,,,,,
2018-04-20T08:51:48,"['Daily Pump announcement get high profit within some hours!!\n\nParticipate in  New daily Mega Pump earn 100% to 300% \n\nGet info about every Unique Signal on binance , cryptopia all other!!\n\nSee \n', {'type': 'hashtag', 'text': '#GRS'}, ' co']",,,,
2018-04-20T13:11:29,"👉 PUMP ANNOUNCEMENT 👈
 
🏦 Exchange: Binance 
🕓 Time: 17GMT 
♥️ Date: 20 April 2018 

💰Get Ready For Profit Ride! 🚀",,,,
2018-04-20T18:49:29,10 minutes to start,,,,
2018-04-20T18:49:34,Be ready,,,,
2018-04-20T19:01:15,"['Coin is \n👉 MDA 👈\n\n', {'type': 'link', 'text': 'https://www.binance.com/indexSpa.html#/trade/trade?symbol=MDA_BTC'}, '']",1.0,binance,mda/btc,
2018-04-20T20:16:28,10% profit,,,,
2018-04-20T20:18:03,"[{'type': 'hashtag', 'text': '#MDA'}, ' hit 14230 from 13231']",,,,
2018-04-24T13:51:11,,,,,
2018-04-24T13:51:15,"['Buy\n', {'type': 'hashtag', 'text': '#ZiL'}, ' \n1029\nUptrend start..']",,,,
2018-04-25T08:57:11,"['Buy\n', {'type': 'hashtag', 'text': '#Dnt'}, ' \n1085 now \nTarget 1300\n20%']",,,,
2018-04-25T08:58:06,"['Buy ', {'type': 'hashtag', 'text': '#Ast'}, ' \n6030 now\nTarget 20 to 25%\n7000 to 7500']",,,,
2018-04-25T08:59:07,👍👍👍👍👍👍👍👍👍👍,,,,
2018-04-25T18:27:02,,,,,
2018-04-26T05:17:30,"[{'type': 'hashtag', 'text': '#Binance'}, ' added option to convert all small coins to BNB coins.\nDo it, i saved 40$ by that.']",,,,
2018-04-27T09:50:33,"['GladAge Airdrop:\nI just got lucky by joining GladAge Telegram group and earned 70 free GAC tokens.\n\nMy referral link is: ', {'type': 'link', 'text': 'https://t.me/GladAgebot?start=407274865'}, '\n\nYou can also get GAC tokens by clicking on the link above.\n\n🎩  Share and forward your referral link to your friends and earn 30 GAC tokens for each invited friend. They will have to stay in the chat until token distribution, for you to receive the reward.  Users who get caught cheating will directly be eliminated!\n\n✔ Follow and read the detailed rules about the ICO here: ', {'type': 'link', 'text': 'https://coindelite.com/ico-details-gladage'}, '']",,,,
2018-05-01T11:29:59,"['Coin Name👆  ', {'type': 'hashtag', 'text': '#ZiL'}, '\n\n✅ Target 1 Achieved\nReached 1140!\nCall was given at 1029✈️✈️\n\nSo Far Profit 10% Profit👍💚💚']",,,,
2018-05-01T11:34:37,"['Coin Name👆  ', {'type': 'hashtag', 'text': '#Dnt'}, '\n\n✅ Target 1 Achieved\nReached 1150!\nCall was given at 1095✈️✈️\n\nSo Far Profit 7%% Profit👍💚💚']",,,,
2018-05-01T11:38:53,🚀👇Ready for signal👇,,,,
2018-05-01T11:40:43,"['Buy ', {'type': 'hashtag', 'text': '#SNGLS'}, '\n\nUnder 1100\nCurrent 1080..\nBuy and hold..\nSell at 1200 \n1300+1400']",,,,
2018-05-02T04:55:01,"['Coin Name👆  ', {'type': 'hashtag', 'text': '#SNGLS'}, '\n\n✅ Target  Achieved\nReached 1280!\nCall was given at 1080✈️✈️\n\nSo Far Profit 19% Profit👍💚💚']",,,,
2018-05-02T08:20:10,"[{'type': 'hashtag', 'text': '#SNGLS'}, ' \n1311 now \n22% profit in 1 day']",,,,
2018-05-02T09:18:41,🚀👇Ready for signal👇,,,,
2018-05-02T09:20:25,"['Buy ', {'type': 'hashtag', 'text': '#RPX'}, '\nUnder 1520\n\nSell at 1600-1650-1800']",,,,
