date,text,Pump,Exchange,Coin,Notes
2018-12-23T02:02:14,,,,,
2018-12-23T11:49:05,,,,,
2018-12-23T11:54:25,"ETH

Wave started at 0.027

Targeting 0.0347 (safe exit)

0.0377 (medium safe exit)",,,,
2022-10-08T06:32:24,"[""Continuation...\n\nThis is pure consolidation before a big move. This is bias and the bias is bullish at the back of few parameters\n\n1- Tech : C&H - Depiction and example how it unfolds (example attached) \n\n2- Fundamental - Dxy making a bounce , it can't keep bouncing but offcourse and small rejection in dxy will push the price of btc with momentum\n\n3- Funding Rate is bit up but TSLA> TLSP sensing this ratio* been dominated by big whales. \n\nHaving bullish bias is good , BUT risk needs to be mitigated just in case the prediction didn't work as expected. Therefore putting a sl near or below h4 close < 19k is good. \n\n"", {'type': 'mention', 'text': '@bitcoins'}, ' \nMaking bitcoin trading easy']",,,,
2022-10-08T06:32:24,,,,,
2022-10-10T20:33:34,"[{'type': 'bold', 'text': 'NEBL ☓ LUNC\n'}, 'Neblio has become Official Sponsor of Terra!\n\n', {'type': 'link', 'text': 'https://twitter.com/NeblioTeam/status/1579538991757799425'}, '']",,,,
2022-10-11T08:28:29,"[{'type': 'bold', 'text': 'JUST IN:'}, ' Binance burned $922,800 worth of ', {'type': 'cashtag', 'text': '$LUNC'}, ' fees collected from spot and margin trading pairs.']",,,,
2022-10-11T11:36:16,"['Interesting read: ', {'type': 'link', 'text': 'https://codygarrison.notion.site/Web3-VC-Database-2022-de9c391f8dd14a8a9a3e01a69f4e0b7f'}, ""\n\nAny VCs, whose movements you're following? Tell us👇\n\n"", {'type': 'link', 'text': 'https://twitter.com/BinanceWaves/status/1579767572744278017'}, '']",,,,
2022-10-12T16:25:06,best gainers,,,,
2022-10-13T13:08:21,"['buy the dip\n\n', {'type': 'mention', 'text': '@BinanceWaves'}]",,,,
2022-10-13T18:00:23,did you buy ?,,,,
2022-10-14T09:33:16,Market is on 🔥,,,,
2022-10-15T17:25:20,shitcoins party,,,,
2022-10-17T12:03:05,"[{'type': 'link', 'text': 'https://twitter.com/BinanceWaves/status/1581948185659863040'}]",,,,
2022-10-19T12:34:11,"['$Aptos\n\n', {'type': 'link', 'text': 'https://twitter.com/BinanceWaves/status/1582681356164681728'}]",,,,
2022-10-19T12:45:30,rekt in short,,,,
2022-10-19T12:45:50,our whales will short it from 15 USDT been told,,,,
2022-10-19T12:46:11,"['our whales will join short APT from 15 USDT being told\n\n', {'type': 'mention', 'text': '@BinanceWAves'}]",,,,
2022-10-19T12:46:49,,,,,
2022-10-20T11:53:07,what do you know,,,,
2022-10-20T20:12:44,shorted more 😂,,,,
2022-10-21T10:55:37,"['Can ', {'type': 'hashtag', 'text': '#BTC'}, ' Bulls defend against bears?\n\n', {'type': 'link', 'text': 'https://t.me/Forex_Tradings/12585'}]",,,,
2022-10-21T11:14:52,,,,,
2022-10-22T17:47:33,scammmmmmmmm 🔥,,,,
2022-10-22T17:47:43,,,,,
2022-10-23T12:58:05,"APT above 10, did you short it ?",,,,
2022-10-23T19:34:23,,,,,
2022-10-23T19:34:44,soon 0,,,,
2022-10-24T11:41:39,"['The only right way for crypto to go:\n\n', {'type': 'link', 'text': 'https://twitter.com/BinanceWaves/status/1584480124090449920'}]",,,,
2022-10-25T14:05:39,APT loading.....,,,,
2022-11-07T10:05:40,short scem,,,,
2022-11-07T10:55:03,"['time to short squeeze CZ ?\n\nLong FTT / SOL ?\n', {'type': 'link', 'text': 'https://t.me/CryptoCoinsCoach/32369'}]",,,,
2022-11-07T12:04:05,FTT collapse is imminent,,,,
2022-11-07T16:57:28,back to first entry,,,,
2022-11-08T23:06:14,FTT -90%,,,,
2022-11-08T23:06:40,Market cap hit 500m. the exact amount CZ sold yesterday,,,,
2022-11-08T23:06:56,,,,,
2022-11-08T23:07:29,that was a sure buy at 2,,,,
2022-11-08T23:22:59,"Just In:

Whales and VCs are loading FTT between 2-5 USDT",,,,
2022-11-09T00:02:19,,,,,
2022-11-09T10:11:28,"['18 mil ', {'type': 'cashtag', 'text': '$SOL'}, ' about to hit the market within 24h. 👇\n\nThose with a lot of coins locked in staking are about to join the liquid supply.\n\n📍 Follow ', {'type': 'mention', 'text': '@Coins'}, ' for the hottest news in crypto.']",,,,
2022-11-09T11:56:25,Just in: Whales finished selling off,,,,
2022-11-09T11:57:32,"enjoy the info, use it at your own risk",,,,
2022-11-09T11:59:10,BNB good news incoming later on this week / weekend,,,,
2022-11-09T11:59:44,we took ETH long,,,,
2022-11-09T11:59:59,"['and also NEBL spot here looking good\n\n', {'type': 'link', 'text': 'https://www.binance.com/en/trade/NEBL_BUSD?theme=dark&type=spot'}]",,,,
2022-11-09T12:05:20,it doesn't mean 1 more liquidation isn't coming.. scam exchanges always use big wicks to drain more money from users,,,,
2022-11-09T12:23:34,,,,,
2022-11-09T12:30:02,whales push down ETH and BTC to buy cheap SOL,,,,
2022-11-09T12:30:18,just buy and hold,,,,
2022-11-09T12:30:35,,,,,
2022-11-09T12:30:36,see,,,,
2022-11-09T12:30:49,,,,,
2022-11-09T12:39:29,added small long on BTC as well,,,,
2022-11-09T12:39:54,news are from inner circle of Sam,,,,
2022-11-09T12:40:39,,,,,
2022-11-09T12:42:05,soon jail,,,,
2022-11-09T12:44:28,"['not only us, also ', {'type': 'mention', 'text': '@pumps'}, ' whales are ready to flip green soon\n\n', {'type': 'link', 'text': 'https://t.me/Pumps/209'}]",,,,
2022-11-09T12:45:55,easy,,,,
2022-11-09T12:46:05,"['┌🟢 ', {'type': 'hashtag', 'text': '#ETH'}, ' Liquidated ', {'type': 'bold', 'text': 'Short'}, ' - ', {'type': 'bold', 'text': '$184.6K'}, ' at $1202.74\n└Funding Rate: -0.0519%']",,,,
2022-11-09T12:55:01,just hold,,,,
2022-11-09T13:22:10,Solana now 🚀,,,,
2022-11-09T13:56:06,SOL,,,,
2022-11-09T13:56:19,who joined me at 14?,,,,
2022-11-09T14:06:58,when everyone will FOMO in we will take profits,,,,
2022-11-09T15:49:56,"['A total of 18,775,348 ', {'type': 'cashtag', 'text': '$SOL'}, ' ($330M) will hit the market in 23 hours from now.\n\n📍 Follow ', {'type': 'mention', 'text': '@Coins'}, ' for the hottest news in crypto.']",,,,
2022-11-09T15:50:33,"plan is:

long now, short tonight, short the morning, pump day after the release",,,,
2022-11-09T16:48:38,are you holding Anon ?,,,,
2022-11-09T16:49:10,check FTT its going to explode now,,,,
2022-11-09T16:49:40,FTT back to 10,,,,
2022-11-09T16:49:45,buy buy buy,,,,
2022-11-09T17:04:11,,,,,
2022-11-09T17:05:06,"If you buy

Vote 💩


If you didn't buy 
Vote 🤮",,,,
2022-11-09T17:44:59,time to exit scam,,,,
2022-11-09T18:01:47,just in: coindesk article is not real,,,,
2022-11-09T18:02:02,"[""it's a FUD \n\n"", {'type': 'link', 'text': 'https://t.co/2mBbNndasN'}]",,,,
2022-11-09T18:05:21,it's a fucking lie,,,,
2022-11-09T18:06:29,the only real thing now is the tokens release tomorrow,,,,
2022-11-09T18:31:51,"do not short Solana now, announcement coming",,,,
2022-11-09T18:34:14,help us push it up,,,,
2022-11-09T18:35:13,"['use spot \n', {'type': 'link', 'text': 'https://www.binance.com/en/trade/SOL_USDT?theme=dark&type=spot'}]",,,,
2022-11-09T18:38:56,boom,,,,
2022-11-09T18:40:39,good job brothers,,,,
2022-11-09T18:42:29,thank you,,,,
2022-11-09T18:42:32,❤️,,,,
2022-11-09T18:42:45,our mission is to keep crypto alive,,,,
2022-11-09T18:42:49,we don't want to see more blood,,,,
2022-11-09T18:44:53,,,,,
2022-11-09T19:15:48,,,,,
2022-11-09T19:15:56,thank you guys for helping,,,,
2022-11-09T19:16:04,We could have done it without you,,,,
2022-11-09T19:16:07,but still thanks,,,,
2022-11-09T19:46:15,"['Binance: We’re just 36 hours into the DD process. Once we have completed that, we will make a decision based on what’s in the best interest of Binance’s users across the globe. We’ll share more information when we have a more substantive update to provide. ', {'type': 'text_link', 'text': '— link', 'href': 'https://twitter.com/EleanorTerrett/status/1590375263946559488'}, '']",,,,
2022-11-09T19:46:22,CoinDesk fucking liars,,,,
2022-11-09T19:56:44,exit solana,,,,
2022-11-09T20:04:42,do not short BTC / ETH,,,,
2022-11-09T20:10:19,just short solana,,,,
2022-11-09T20:10:43,it can drop further 80% from here,,,,
2022-11-09T20:54:51,binance bots started working?,,,,
2022-11-09T20:57:24,ah it's just squeeze,,,,
2022-11-09T20:57:28,keep shorting Solana to 0,,,,
2022-11-09T21:19:57,LUNC and NEBL are pumping 🚀,,,,
2022-11-09T21:20:17,"[{'type': 'link', 'text': 'https://www.binance.com/en/trade/NEBL_BUSD?theme=dark&type=spot'}]",,,,
2022-11-09T21:26:02,"binance bots started buying 

BTC ETH BNB",,,,
2022-11-09T21:26:11,mind your shorts,,,,
2022-11-09T23:40:50,Solana freezed,,,,
2022-11-09T23:56:57,get ready for big green dildo,,,,
2022-11-10T09:36:34,,,,,
2022-11-10T09:36:43,,,,,
2022-11-10T09:36:43,,,,,
2022-11-10T09:36:47,,,,,
2022-11-10T09:36:54,here we go,,,,
2022-11-10T09:37:38,did you follow Anon ?,,,,
2022-11-10T09:38:13,ETH,,,,
2022-11-10T10:23:54,Sam is all wet ☺️😂,,,,
2022-11-10T10:33:31,We plan to buy the Solana dip,,,,
2022-11-10T10:33:38,"['59m total released\n\nThey took 28m and restake already because those are theirs validators\n\n\n', {'type': 'link', 'text': 'CCC.io'}]",,,,
2022-11-10T10:34:04,Around 300m usd will hit the market. We plan on buying 100m spot,,,,
2022-11-10T10:34:51,"DYOR this is risky shit.

Not Financial advice (for noobs)",,,,
2022-11-10T11:05:56,,,,,
2022-11-10T11:06:01,Chinese Sam is buying......,,,,
2022-11-10T11:10:23,SOL - bull flag breakout incoming 🚀,,,,
2022-11-10T11:18:22,pump it up,,,,
2022-11-10T11:28:15,don't short it or we will liquidate you,,,,
2022-11-10T13:33:09,"new FUD about USDT

just buy BTC ETH SOL BNB and hold

Don't stay in USDT, big pumps are coming to BTC soon",,,,
2022-11-10T14:06:49,booooooooooom 🚀,,,,
2022-11-10T14:07:25,,,,,
2022-11-10T14:12:22,yes baby,,,,
2022-11-10T14:12:34,,,,,
2022-11-10T14:14:15,,,,,
2022-11-10T14:14:17,hahahahaa,,,,
2022-11-10T14:14:28,,,,,
2022-11-10T14:16:58,,,,,
