date,text,Pump,Exchange,Coin,Notes
2020-01-16T05:21:38,,,,,
2021-11-03T03:03:06,"['ℹ️ ', {'type': 'bold', 'text': ""Are you looking for free signals to follow, from someone who's reliable and experienced?\n\n🤯 ""}, {'type': 'text_link', 'text': 'Join Now', 'href': 'http://t.me/Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-03T04:31:20,,,,,
2021-11-04T02:00:15,"[{'type': 'bold', 'text': 'Breaking'}, ': Millions of U.S. teens could soon have access to Bitcoin  through Cash App - Square CEO\n\n🔗 ', {'type': 'text_link', 'text': 'Source\n\n', 'href': 'https://twitter.com/bitcoinmagazine/status/1455964808931651584'}, '➡️ ', {'type': 'mention', 'text': '@Binance_Crypto_Trading'}, '']",,,,
2021-11-05T02:15:43,"['🔄 ', {'type': 'bold', 'text': 'Bitcoin Taproot Is Around The Corner\n\n'}, 'The highly anticipated Bitcoin protocol update, Taproot, is going to activate when it reaches block #709,632, believed to happen around November 16. It will bring many improvements by replacing ECDSA signatures with Schnorr signatures, enhancing privacy, scalability, security, and lowering fees.\n\n🔗 ', {'type': 'text_link', 'text': 'Source\n\n', 'href': 'https://bit.ly/3EwPAj8'}, '👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-05T18:30:07,"[{'type': 'link', 'text': 'Blockchain.com'}, {'type': 'bold', 'text': ' Hires Deutsche Bank Executive as First Compliance Chief\n\n'}, 'The hire comes as the cryptocurrency startup, founded in 2011, continues to expand globally as more people find ways to buy, sell and trade crypto. The company said it has $1.5 billion in revenue year-to-date for 2021 and a $5.2 billion valuation.\n\n🔗 ', {'type': 'text_link', 'text': 'Source\n\n', 'href': 'https://www.wsj.com/articles/blockchain-com-hires-deutsche-bank-executive-as-first-compliance-chief-11636102800'}, '➡️ ', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-08T04:02:39,"['⚠️ ', {'type': 'bold', 'text': ""House passes $1T infrastructure bill with crypto tax for Biden's approval\n\n""}, 'The United States House of Representatives passed the $1.2 trillion bipartisan infrastructure bill, which if signed into law by President Joe Biden, would enforce new provisions in relation to crypto-tax reporting for all citizens.\n\n🔗 ', {'type': 'text_link', 'text': 'Source\n\n', 'href': 'https://bit.ly/304dx2D'}, '➡️ ', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-10T05:08:46,"[{'type': 'bold', 'text': 'Financial Services Giant ING Is Working On A Defi Lending Project\n\n'}, '🔗 ', {'type': 'text_link', 'text': 'Source\n\n', 'href': 'https://cryptopotato.com/financial-services-giant-ing-is-working-on-a-defi-lending-project/?amp'}, '➡️ ', {'type': 'mention', 'text': '@Rocket_Pump_Channel'}, '']",,,,
2021-11-10T11:03:56,"['🍎 ', {'type': 'bold', 'text': 'Apple CEO Tim Cook Reveals Cryptocurrency Investments'}, '\n\nWhile Apple is yet to make a move into the crypto space, its CEO has.\nSpeaking at the Deal Book Online Summit Tuesday, Apple CEO Tim Cook revealed that he uses and holds cryptocurrencies.\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://bit.ly/2YxzNRP'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-10T14:30:19,"[{'type': 'bold', 'text': 'Bitcoin'}, ' ', {'type': 'bold', 'text': 'Accumulation'}, ' Trend ', {'type': 'bold', 'text': 'Score\n\n'}, '- High values (Black circle): ', {'type': 'bold', 'text': 'Increased whale accumulation\n'}, '- Low values (Yellow circle): ', {'type': 'bold', 'text': 'Accumulation predominantly from small entities\n\n'}, 'Yes, you want to see those ', {'type': 'bold', 'text': 'dark'}, ' ', {'type': 'bold', 'text': 'colors'}, ' – ', {'type': 'bold', 'text': 'big'}, ' ', {'type': 'bold', 'text': 'players'}, ' ', {'type': 'bold', 'text': 'scooping'}, ' ', {'type': 'bold', 'text': 'up'}, ' ', {'type': 'bold', 'text': 'BTC'}, '. \n\n', {'type': 'bold', 'text': 'Bullish'}, ' 🔌\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://twitter.com/n3ocortex/status/1457841095493275649?t=Nx1AAUQeRFcQ-dYIgK6GMA'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-11T09:06:11,"[{'type': 'bold', 'text': 'BREAKING'}, ': SEC filings reveal Tesla CEO Elon Musk has sold about 2.2 million Tesla shares (TSLA stock) after Twitter poll… but the trading plan was established mid September way before his Twitter poll.\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-11T14:26:00,"[{'type': 'bold', 'text': ""Grayscale reached $60 billion AUM and has flipped the world's largest gold fund""}, '\n\nThe Grayscale Bitcoin Trust now has $43.5 billion AUM and holds more than 3% of all Bitcoin in existence.\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://blockworks.co/grayscales-total-assets-under-management-hits-60b/'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-12T11:32:26,"[{'type': 'bold', 'text': 'A successful Q3 for FTX_Official :'}, '\n\n- $360B in average daily volume\n\n- Held 4.5% of US crypto spot market\n\n- Secured partnerships with Steph Curry, Tom Brady and others\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://blockworks.co/ftx-us-reports-512-increase-in-average-daily-volume-in-q3/'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-12T19:36:17,"['👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-13T12:25:40,"['🎭 ', {'type': 'bold', 'text': 'AMC Now Accepts Bitcoin and Ethereum '}, '\n\nAmerica’s leading theater chain, AMC announced today that the company has started accepting several digital assets, including Bitcoin, Ethereum, Bitcoin Cash and Litecoin for online payments. The company’s users now have the option to pay in crypto digitally.\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://bit.ly/30pOFCH'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-13T18:38:00,"[{'type': 'bold', 'text': 'WHY YOU SHOULD CARE ABOUT TAPROOT, THE NEXT MAJOR BITCOIN UPGRADE'}, '\n\nBitcoin Taproot soft fork will optimize scalability, privacy, and smart contract functionality. It will bring about a new address type, allowing bitcoin spending to look similar regardless of whether the sender is making a simple payment, a complex multi-signature transaction, or using the Lightning Network.\n\n🔗 ', {'type': 'text_link', 'text': 'Source', 'href': 'https://bitcoinmagazine.com/technical/short-bitcoin-taproot-explainer'}, '\n\n👇 ', {'type': 'bold', 'text': 'Binance Pumps'}, ' 👇 \n', {'type': 'mention', 'text': '@Crypto_Pump_Bitcoin'}, '']",,,,
2021-11-14T21:13:47,"['🛎️Pump announcement!🛎️\n\nHello everyone, the next official pump will be scheduled for :\n\n- Date: Sunday, November  21st\n- Time: 18:00 GMT \n- Exchange: ', {'type': 'link', 'text': 'Kucoin.com'}, '\n\nAfter the previous pump on ', {'type': 'hashtag', 'text': '#GENS'}, ' (which is still up over 60% profit weeks later) and hours of discussion with our team, we have decided to schedule our next pump in 7 days to make sure that we are fully prepared. Our main goal for this pump will be to make sure that every single member in our group makes a massive profit just like they did on ', {'type': 'hashtag', 'text': '#GENS'}, "".\n\nOur last pump made our members over 300% profit and with the current market sentiment we believe Sunday's pump will bring in more than 300-500% profit. The entire world will be watching as over 80,000 traders collaboratively work together to push the price up, gaining global attention and market FOMO. More information to come.\n\n- The pump team""]",,,,
2021-11-14T21:24:46,,,,,
2021-11-16T20:44:49,5 days remaining until the big pump on Kucoin!,,,,
2021-11-17T21:17:00,"4 days left remaining until the Kucoin pump! We remind you all that the pump will require USDT in your trading account. More information will follow, be prepared.",,,,
2021-11-18T21:16:20,"['3 days remaining until the Kucoin pump! \n\nDate: Sunday, November  21st\nTime: 18:00 GMT \nExchange: ', {'type': 'link', 'text': 'Kucoin.com'}, '\nPair: USDT\n\nOur network of over 10+ communities & channels have experienced huge growth since our last pump on ', {'type': 'hashtag', 'text': '#GENS'}, ' and we fully expect this pump to be one of the biggest ever. Our past pumps have proven to be the most fair and boast huge profits time and time again, and we expect this pump to be no different. Be prepared, more information to come.']",,,,
2021-11-19T21:10:32,2 days left until the big pump on Kucoin! Be prepared.,,,,
2021-11-20T21:17:24,"The big day has arrived. 24 hours remaining until the biggest Kucoin pump of all time! The target this time will be around 500% gains possibly even more. With the bull market being in full effect and volumes being high, the odds of reaching 500% profit will be very high once again. Our last pump did over 360% and since then we've grown by well over 30,000 traders. We will do everything in our power to make sure we reach this target, if you have missed our previous big successful pumps, this is also the one you will not want to miss.  A massive pump is about to begin in only 24 hours, be prepared.",,,,
2021-11-21T04:27:46,"[{'type': 'bold', 'text': 'Pump will be announced here first: \n\n'}, '➡️ ', {'type': 'link', 'text': 'https://t.me/joinchat/EKWyBG3HNVU5OTNh'}, '']",,,,
2021-11-21T16:00:37,"4 hours left until the biggest Kucoin pump signal of all time! Everything is looking perfect for a massive pump today.

- Our target will be 500%+ profit on Kucoin! We will be using the Kucoin exchange to pump.
- We will be using the USDT pairing to pump, make sure you have USDT in your trading account to buy the coin.
- Hundreds of thousands of traders will be buying at once, make sure you buy early before outsiders do.
- If you plan to use your whole balance, you can buy using 75% of your balance initially at market price, use the remaining of your balance to place buy orders!
- When you buy the coin and it's time to sell, never sell on the buy supports! Instead sell slowly in parts as the price goes up. 
- Our pump will have many waves as our whales will be buying with our members to support the price, there will be a lot of possibilities to profit during the pump!
- Millions of traders worldwide will be watching and buying, we have put into place a few measures to spread the word out after our signal all over social media, we will attempt to make our pump last as long as possible. 
- For more information refer to  in our discord.

This will be one of the biggest pump we have ever done and possibly our best pump to date, be ready!",,,,
2021-11-21T17:01:23,3 hours left until the big pump on Kucoin! Make sure you have USDT in your trading account to buy the coin.,,,,
2021-11-21T18:00:10,"2 hours remaining until the big pump on Kucoin! The market is amazing and our coin is very bottomed which means the potential for profits will be much bigger. We have all the perfect conditions to execute a massive pump, be prepared.",,,,
2021-11-21T19:01:25,"1 hour remaining until the big pump! A massive pump is about to happen in only 60 minutes. We will be using USDT for the pump, be prepared!",,,,
2021-11-21T19:31:42,30 minutes left until the big pump on Kucoin!,,,,
2021-11-21T19:46:30,15 minutes left.,,,,
2021-11-21T19:55:16,"5 minutes left, the next message will be the coin to buy our target.",,,,
2021-11-21T20:00:08,"['The coin we have picked to pump today is: MODEFI\n\n', {'type': 'link', 'text': 'https://trade.kucoin.com/MODEFI-USDT'}, '\n\nProjected Gain: 200-400%']",1.0,kucoin,modefi/usdt,
2021-11-21T20:01:26,"Keep buying, traders around the world are buying in!",,,,
2021-11-21T20:04:04,"We're  still above 160% profit, keep it up outsiders are jumping in!",,,,
2021-11-21T20:09:59,"3M in volume & over 294% in profit, congratulations!",,,,
2021-11-21T21:18:03,"Pump result : Amazing pump with more than 4.2$ million USDT in volume with a peak of 391% that lasted more than 15 minutes on Kucoin! We managed to hit our profit expectation of 200-500% perfectly and we're glad everyone participated. There were multiple waves that allowed our members to make profit many times during the pump. As mentioned in our previous post today, we also gave the signal at the absolute bottom to make sure that all our members have a fair chance of buying at a good price, which is why there the price was declined prior to the signal. Overall, we can safely say that this pump was a success and that the upcoming one will be much bigger. We are also seeing a lot of positive feedback across all social medias for the pump and we are glad to know many members managed to make a massive profit on this pump. Stay tuned for our next announcement!",,,,
2021-11-21T21:22:57,,,,,
2021-11-26T02:52:40,"['🛎 ', {'type': 'bold', 'text': 'Next pump will be announced here: \n'}, '\n⤵️ ', {'type': 'link', 'text': 'https://t.me/joinchat/GD5JhEL1sPxjYmRh'}, '']",,,,
2021-11-28T21:02:37,"['🛎 Pump Announcement! 🛎\n\nHello everyone, thank you for waiting patiently for our announcement, we are finally announcing the date of our next Kucoin pump, it will be scheduled for :\n\nDate : Sunday December 5th \nTime : 19:00 pm GMT\nExchange : Kucoin\nAdvantage : Free for all \n\nWith the success of our previous pump and the bull market being into full effect, we are officially ready to announce our next big pump. With our volumes averaging 4 to 7 million $ per pump and peaks reaching up to 500% we expect our upcoming pump to be massive. After the previous Kucoin pump on ', {'type': 'hashtag', 'text': '#MODEFI'}, "" and hours of discussion with our team, we have decided to schedule our next pump in exactly 7 days to make sure that we are fully prepared. Our overall member count has exploded, crypto markets are rising, and the pumping scene is ready for it's return to glory.  We welcome everyone to join us as we create the next big pump all traders and investors all over the world have been waiting for. \n\nWe have 7 days to prepare for this massive pump, we are confident to say that this pump event will be the biggest one that we have done in the history of our group once again and will top our previous ones in terms of % gain. With our great track record, we highly recommend participating in this pump. More information to come. \n\n- The pump team "", {'type': 'mention', 'text': '@everyone'}, '']",,,,
2021-11-28T21:04:39,,,,,
2021-11-29T21:02:19,6 days remaining until the big pump on Kucoin!,,,,
2021-11-30T21:00:09,5 days remaining until the pump! We remind you all that the pump will be taking place on Kucoin. More information will follow.,,,,
2021-12-01T21:00:18,4 days remaining until the big pump on Kucoin!,,,,
2021-12-02T21:06:04,"Exactly 3 days remaining until the Kucoin pump! There is still some ambiguity about the exchange and pairing we are using to pump on Sunday. Therefore, I will clarify which exchange we are using. For this pump we will use Kucoin We specifically chose Kucoin because pumping on this exchange is more effective and easier to coordinate. Finally, the coin we will be pumping will only have a USDT pairing, which means you must have USDT in your trading account. More information will follow.",,,,
2021-12-03T20:57:06,2 days left until the big pump on Kucoin! Be prepared.,,,,
2021-12-04T22:27:43,1 day remaining until the big pump on Kucoin! Be prepared.,,,,
2021-12-05T15:39:49,"Dear members,

The amount of new members has skyrocketed the past week. The demand for another successful pump is big. However, the cryptocurrency markets have plunged to new lows and the market conditions are far from optimal. Our team of analysts have reviewed the current situation and they've decided that pumping in such market conditions is deemed unsafe. Therefore in order to maintain our reputation as the largest growing Kucoin Pump network globally, with the biggest and by far the most profitable pumps, we've decided to postpone the date of today's pump. 

We know this may come across as a let down to some, and we're extremely sorry to break this sad news to you all. In order to make it up to our community we'll make sure the next scheduled pump is one to remember. We will announce our new pump date in the next couple days, stay alert & enjoy the rest of your weekend. More information to come.",1.0,,,CANCELLED
2021-12-14T21:49:27,"Dear members, 

We are watching the market closely and will plan another pump as soon as conditions are optimal again. We predict good conditions are coming soon and will keep you all informed every step of the way. Rest assured our network has continued to grow and as soon as the market gives us the opportunity we will let you all know immediately. Expect a pump from us anytime soon, stay tuned!

- The pump team",,,,
2021-12-17T01:25:38,,,,,
2021-12-22T22:32:59,"['Hello everyone, we know alot of people are patiently waiting for our next pump. We are currently analyzing the market and looking for the best opportunities. Our pump announcement will come shortly, meanwhile feel free to invite people to our group. The buy power in the ', {'type': 'hashtag', 'text': '#MODEFI'}, ' pump was amazing and we expect our next pump to have even more volume and action which means even better results and more profits for everyone! If you have any questions, feel free to ask us while our team is preparing for the next pump. Happy holidays & be prepared!']",,,,
2021-12-25T20:57:27,"['Dear members,\n\nAfter the great success of our last pump on ', {'type': 'hashtag', 'text': '#MODEFI'}, "", we've received thousands of messages asking when our next pump would take place. Normally we would take breaks from pumping during the holiday season, but the altcoin markets are looking primed for a pump and we wouldn't want this opportunity to go to waste. There is a lot of demand so we decided to schedule a pump next week.\n\nExact details:\nExchange: Kucoin\nDate: 1-January-2022\nTime: 18:00 PM GMT\n\nWe have exactly 7 days to prepare for this pump, we are confident to say that this pump event will be the biggest one that we have done in the history of our group and will top our previous ones in terms of % gain. With our great track record, we highly recommend participating in this pump. \n\n-The pump team "", {'type': 'mention', 'text': '@everyone'}]",,,,
2021-12-25T20:57:30,,,,,
2021-12-27T20:50:36,"Dear members, 

5 days left until the pump event on Kucoin! More information will follow, be prepared.",,,,
2021-12-29T20:00:47,"['Dear members,\n\n3 days left until the Kucoin pump.\n\nWith all social media channels combined our network has over 230,000 members. We might all be small investors but we have an insane social media presence. In exactly 72 hours we will coordinately buy, hype and push up the price of a coin. Join our ', {'type': 'text_link', 'text': 'discord', 'href': 'http://discord.com/invite/hFzEA6JwgA'}, ' for an extended explanation of the strategy. Be prepared. \n\n- The pump team ', {'type': 'mention', 'text': '@everyone'}]",,,,
2021-12-30T20:01:49,"Dear members,

2 days left until the Kucoin pump signal.

We are getting a lot of questions regarding the trading pair. During the pump we will be using the USDT trading pair. Example: If the coin is XXX, buy the coin with USDT on the XXX/USDT market. This also means you must have available USDT in your 'Trading Account'. More information will follow as we get closer to the pump date, be prepared! 

- The pump team",,,,
2021-12-31T19:59:53,"Dear members,

Exactly 24 hours until the Kucoin pump signal. 

Tomorrow at exactly 18:00 PM GMT, the coin will be announced both in the Discord and Telegram. Like mentioned before, each application has some latency of it's own, so we recommend having both the Telegram and Discord open for the pump.
More information on the strategy of tomorrow’s pump will follow.

- The pump team",,,,
2022-01-01T15:00:50,"['Dear members,\n\nThe pump on ', {'type': 'link', 'text': 'Kucoin.com'}, ' will be in exactly 5 hours.\n\nThe signal will be given in the pump-signal discord channel and in the Telegram.\nBecause of the large amount of members, Discord can have a small delay. Have BOTH Telegram and Discord open!\n\n- The pump team']",,,,
2022-01-01T16:30:09,"Dear members,

Exactly 3 hours and 30 minutes remain until the big pump on Kucoin! Make sure you have USDT in your 'Trading Account' to buy the coin. More information on the strategy will follow.",,,,
2022-01-01T18:00:49,"['Dear members,\n\n2 hours left until the pump.\nThis is a basic step-by-step-strategy for new members:\n1. Ten minutes before 18:00 PM GMT have ', {'type': 'link', 'text': 'Kucoin.com'}, ', ', {'type': 'text_link', 'text': 'Discord', 'href': 'https://discord.gg/hFzEA6JwgA'}, ' and Telegram open.\n2. At exactly 18:00 PM GMT, there will a message including the name of a coin in the Discord and Telegram.\n3. After we announce the coin, buy it with USDT on the spot market.\n\n- The pump team']",,,,
2022-01-01T19:00:16,"Dear members,

1 hour remaining until the Kucoin pump! A massive pump is about to happen in only 60 minutes. We will be using USDT for the pump, be prepared!",,,,
2022-01-01T19:30:55,"Dear members,

30 minutes left. Prepare yourselves!",,,,
2022-01-01T19:45:07,15 minutes left.,,,,
2022-01-01T19:55:02,"5 minutes left, the next message will be the coin to buy & our profit target.",,,,
2022-01-01T20:00:04,"['The coin we have picked to pump today is: GENS\n\n', {'type': 'link', 'text': 'https://trade.kucoin.com/GENS-USDT'}, '\n\nProjected Gain: 300-500%']",1.0,kucoin,gens/usdt,
2022-01-01T20:01:00,Traders from around the world are jumping in!,,,,
2022-01-01T20:04:32,"Still rising, traders have taken notice!",,,,
2022-01-01T20:06:48,"The second wave is in full effect, keep going!",,,,
