date,text,Pump,Exchange,Coin,Notes,photo
2021-02-02T00:44:22,,,,,,
2021-02-02T00:52:48,,,,,,photos/photo_1@02-02-2021_00-52-48.jpg
2021-02-02T01:03:27,"Welcome, we are a  group of Crypto enthusiasts who want to help you to make the most gains from your investments.
We aim to build a solid community of like mind Crypto enthusiasts by creating a ground swell of support for individual crypto coins.
Our objective is to send 4 signals per week. When you receive these signals the aim is to purchase the selected coin at a given time. Once you purchase the coin you then promote the coin on all your social media channels, facebook twitter, instagram 
Promoting the selected coin is one of the most important factor for a successful pump is creating ‘hype’ around the coin. Creating hype is a group effort. The more subscribers we have the more impact we can make to drive interest in the coin. 
Even though we are all small investors we can all make a difference if we all post on social media.  
The exchange which we will use is Binance international. For US residents we will post how you can register with Binance international shortly.",,,,,
2021-02-02T01:07:19,Discord Server coming soon,,,,,
2021-02-02T01:08:59,🐳🐳 We predict from our research that each coin signal will produce a return of between 50% to 100% 🐳🐳,,,,,
2021-02-02T01:22:58,"💥TELL YOUR FRIENDS, SPREAD THE WORD💥
Help us spread the word, tell your friends about us. The faster we get to critical mass of subscribers we can start helping out the little crypto guys out there while you make great returns on your investments.",,,,,
2021-02-02T01:40:48,"💥WHAT MAKES US DIFFERENT💥
We have been involved with crypto since 2011 and have seen crypto projects come and go, some good, some bad and some downright ugly. Of the good ones the main reason they fail is due to lack of funding. We have therefore decided to find great crypto projects and help boost their exposure in the crypto world. Help us make a difference, CRYPTO IS THE FUTURE but the future can only be created and maintained with your help. Lets go!!",,,,,
2021-02-02T02:10:25,"😍Hello to all you beautiful new members. Thank you for taking the time to sub and become the first to join this group, Its going to be a great journey. ❤️❤️❤️ 

Discord server is on its way. Once it is up and running you will all get a link to the private group where you will get signals seconds before everyone else. If you want to help out please spread the word. We hope to start sending out signals soon, there are lots of coins out there that need our DIAMOND HANDS!!",,,,,
2021-02-02T02:45:59,,,,,,
2021-02-02T02:46:37,"More updates tomorrow, its a good night from us here at CCPS ❤️",,,,,
2021-02-02T10:33:27,"💥 LOOK MA!, NO BAGS 💥
Good Morning to all our wonderful members. No one likes being left holding bags when a trade does not go their way because they bought too much and too high and are left holding bags. So, to help you from being left high and dry we at CCPS offer our unique “DOUBLE DIP”. 

With CCPS the same coin could be signaled twice in the same week or month. Doing this reduces the risk of being left holding bags If you bought too many and too high. No other Crypto Signals channel on Telegram offers this get out of jail card. ❤️❤️❤️

BUT and we must stress this, we are not aiming at just pumping a coin and dumping, we want to help crypto projects that show promise, therefore you may want to hold onto your crypto, it may just be a blessing in disguise. 

More great features announcements to follow later, in the meantime please share this channel with your friends!!!

CCPS Team ❤️❤️❤️",,,,,
2021-02-02T22:47:49,"['💥 FOLLOW US ON TWITTER 💥\n\nPlease join us on Twitter. Together we are going to disrupt the signals field.\n\n', {'type': 'link', 'text': 'https://twitter.com/CryptoCPSignals?s=20'}, ' \n\nWe really want to promote medium-term growth in some great coins while helping you guys make great returns on your investments. To do this we will cycle through a coin over a period of a month. So if you missed out on the first time around, you will get another chance next time.\n\n\nNot only that. 💰Our Double Dip💰 will mean that we will pump the same coin in a period of 48-96 hrs. Maybe not sequentially so as to prevent anyone pre-empting the next coin but enough to reduce the instances where members are stuck with open positions. \n\n\nThis will help promote staying in a position for longer, across the board, this will reduce your stress. We want this to be fun as well as helping great crypto projects.\n\n\nMore news tomorrow until then, a big welcome to our newest members, a heart felt thank you for taking the time to join. You guys are in for a real treat, but we need your help to get there, please share this channel with all your crypto friends, lets get there together. \n\n\nCCPS Team ❤️❤️❤️']",,,,,
2021-02-03T13:12:55,"💥 HOW TO SPOT THE SCAMMERS💥
Telegram is full of scammers trying to part you from your hard-earnt crypto. Here are some common things that scammers will do or say to get your FOMO alarms ringing:

1. Scammers promising to give you access to coin signals in advance of the official signal. There are some “fake” copy cat telegram groups which claim they have a VIP channel for a one-time payment of $99 for advance notification of which coin will be pumped. This is a scam.


2. Scammers contacting you directly via a discord channel or via youtube comments promising to look after your investments. They will promise eye-watering returns to get your FOMO going, again, once you had over the crypto to scammers it's gone for good. We will never contact you directly offering financial crypto services. 


3. Lookout for coin pump signal channels with no active community but just repetitive messages telling you about up and coming pumps. (Our discord server is almost ready and we are looking forward to chatting with you champions) 


4. Do not fall for pump signals that promise returns of 1000’s of percentages on single trades, this again is to get your FOMO bells going.


5. Avoid Youtube videos and adverts asking you to send crypto to an address promising to return 10x the deposit amount. These are once again scams and Youtube is doing very little to combat these types of videos.


Please take the time to sub to our Twitter channel which you find in the previous post. We will post more news there since we want to minimise the number of messages to no more than two per day. 

As always a warm welcome to our newest members, please take the time to share this group with all your crypto friends, the sooner we get to critical mass we can launch our first signals

Have a great day, to the MOOOOOOOOON!!!!
 CCPS Team ❤️❤️❤️",,,,,
2021-02-03T19:17:50,,,,,,
2021-02-03T23:03:14,"['💥WE THROW STRAIGHT DICE💥\nUnlike other signal pump groups, we will not pre-buy any coins before the coin signal is issued. We believe pre-buying is dishonest and underhanded. We want all our members to have a fair chance of making a profit from their trades. Our promise to you is that when we issue the coin buy signal during our open free for all trade signals it will be just that a free for all. \n\nSo, once again unlike other signal groups where the group admins pre-buy the coins to offload them at a huge profit on to their members, we won’t. \n\nIf you are wondering how we profit well simple, all we ask is if you do not have a Binance account that you use our affiliate link below to register your account: ', {'type': 'link', 'text': 'https://www.binance.com/en/register?ref=RCR50U8T'}, '\n\nCCPS Team ❤️❤️❤️']",,,,,
2021-02-04T12:11:34,"💎DIAMOND HANDS 💎
Looks like those who held onto their Doge after the dip last week are being rewarded today with a nice increase in price. Other big rises in UMA going up 146% in 24-hour volume and LIT increasing its volume by 1400%.

💥WHEN BRD IS NOT THE WORD💥
Those of you who have your ears to the ground will probably have seen the scandal with the coin BRD which was pumped yesterday by another signals group. The pump was a total flop and many people suffered huge losses due to most part the coin had been most probably pre-bought in huge amounts by the group admins and their friends, they got greedy and their members paid dearly. As we have posted previously, we will never pre-buy any coins that we signal, its more fun for all if it’s a free for all, the fastest guns in the west.

⚒CCPS DISCORD SERVER🛠
Our Discord Server is almost ready, we will post a link here so that you may join the private group which is reserved for the first 500 members on telegram where you will enjoy special privileges. So, please take the time to invite your friends to join this telegram group so the may also benefit. 

As always, we wish you a great day

CCPS Team ❤️❤️❤️",,,,,
2021-02-05T00:45:25,"['⚒CCPS DISCORD SERVER🛠\nOur Discord Server is more or less ready to go, Please use this link \n', {'type': 'link', 'text': 'https://discord.gg/TsRq8H3RPv'}, "" to join the server. At the moment you will all have access to the public chat. You can get on there and say hello! \n\n💥INTERESTING ARTICLE REGARDING BITCOIN💥\nRay Dalio, founder of Bridgewater Associates, author of #1 New York Times bestseller 'Principles,' professional mistake maker has written a very interesting article giving his take on Bitcoin.  "", {'type': 'link', 'text': 'https://www.linkedin.com/pulse/what-i-really-think-bitcoin-ray-dalio/'}, '\n\nSee you guys on Discord\n\nCCPS Team ❤️❤️❤️']",,,,,
2021-02-05T14:02:58,"['💥JOIN OUR DISCORD SERVER💥\nThank you to everyone that has joined the discord server. We encourage everyone to join. On the Discord, you can ask questions, and chat with other members. \nClick on the link ', {'type': 'link', 'text': 'https://discord.gg/TsRq8H3RPv'}, ' to join the server. At the moment you will all have access to the public chat. You can get on there and say hello!\n\nCCPS Team ❤️❤️❤️']",,,,,
2021-02-07T02:14:35,"['💥HELP US SPREAD THE WORD💥\nWe would like your support to grow our members so that we can get going as soon as possible, but we know how precious your time is and we also know is it a bit of a pain to have to write posts for your social media accounts, so we thought we would give you a helping hand.\n\nWe have created a collection of easy to use “copy and paste” posts for your various social media accounts on our discord server ', {'type': 'link', 'text': 'https://discord.gg/TsRq8H3RPv'}, '. Simply visit our server and go to the channel named “Social media Templates”\n\nAs always we welcome you to join us on our discord server where we can say hello, chat and you can find out more about us and the project, trust us, we are not your ordinary crypto pump signals channel.\n\nCCPS Team ❤️❤️❤️']",,,,,
