date,text,Pump,Exchange,Coin,Notes
2021-03-23T13:36:24,,,,,
2021-03-23T14:04:58,"Here will be a backup server for our Discord, should anything happen. We will also post all updates here",,,,
2021-04-09T02:00:33,"['28/03 ', {'type': 'link', 'text': 'Kucoin.com'}, ' Pump over 300% gains and lasted 6 minutes straight! ', {'type': 'link', 'text': 'https://gyazo.com/124c9baa75621f51210727fc3547117e'}]",,,,
2021-04-09T02:00:44,"['30/03 ', {'type': 'link', 'text': 'Kucoin.com'}, ' Pump over 700% gains! ', {'type': 'link', 'text': 'https://gyazo.com/db5185026e8f68b7f7b88b5aa586a39f'}]",,,,
2021-05-16T18:49:39,"['🔔 PUMP ANNOUNCEMENT 🔔 \n\nWednesday May 19th\n19:00 GMT (3pm est)\nExchange: ', {'type': 'link', 'text': 'Kucoin.com'}, '\n\nAfter doing what we consider the most successful pump ever done on Kucoin to 47,000% with $3.6 million volume we have seen extraordinary growth and interest in our group. Our next pump will be even bigger than our last with the signal going to the most people it ever has. Be ready for another huge event this Wednesday ', {'type': 'mention', 'text': '@everyone'}, '']",,,,
2021-05-22T18:00:08,"[{'type': 'mention', 'text': '@everyone'}, '\n\n', {'type': 'bold', 'text': '1 HOUR REMAINING UNTIL THE NEXT PUMP!\n\n'}, 'The market conditions are still fantastic, and we are hosting this pump today so we should have an extremely big pump. At this point you should have USDT ready in your Trading Account, and we will inform you of our expected percentage target 3 minutes before the pump. We will release the coin with a text and clickable link.']",,,,
2021-05-22T18:30:05,"[{'type': 'mention', 'text': '@everyone'}, '\n\n', {'type': 'bold', 'text': '30 MINUTES REMAINING!'}, '\n\nMake sure you are logged in to Kucoin with your trading pin already entered if you use one.']",,,,
2021-05-22T18:45:59,"[{'type': 'mention', 'text': '@everyone'}, '\n\n', {'type': 'bold', 'text': '15 MINUTES REMAINING!'}]",,,,
2021-05-22T18:55:07,"[{'type': 'mention', 'text': '@everyone'}, '\n\n', {'type': 'bold', 'text': '5 MINUTES LEFT! '}, '\n\nWe will be announcing the expected gains in the next two minutes. This should be a fantastic pump.']",,,,
2021-05-22T18:57:04,"[{'type': 'mention', 'text': '@everyone'}, '\n\n', {'type': 'bold', 'text': '3 MINUTES!'}, ""\n\nThe expected profit range will be between 125-250% for today's pump! The next post will be the coin in a clickable link.""]",,,,
2021-05-22T19:35:15,"[{'type': 'mention', 'text': '@everyone'}, '\n\nWe achieved a total of 92% pump! It is below our expected gains due to a problem on our end, we have received a lot of messages stating that people could not see the embed in the bots announcement message, we will rectify this for future pumps.']",,,,
2021-05-23T14:07:44,"['4 HOURS LEFT until the pump ', {'type': 'mention', 'text': '@everyone'}, ' \n\nToday looks perfect for our pump. Coins will pump much easier than normal which means higher gains and more attention from traders on Kucoin. We expect an epic pump to the highest gains we have ever done. With more USDT being held in wallets than ever before the amount of outsiders in this pump will be plentiful.\n\nDetails:\n- We will empty the market making orders for our coin and be able to fully control the price, this means most members buying in low and being able to sell very high. We have tested this method using multiple orders and it has been 100% successful.\n- The signal bot system time is synced now, meaning the pump and the signal will happen at the same time.\n- This will be an epic pump with huge gains for everyone, follow the how-to-pump guide!\n- You must be trading on ', {'type': 'link', 'text': 'Kucoin.com'}, '\n- You need USDT in your ""Trading Account""\n\nMost of us will remember this day forever as the greatest pump of all time. See you in 4 hours.']",,,,
2021-05-23T16:01:00,"[{'type': 'bold', 'text': '2 hours left until the pump!'}, ' ', {'type': 'mention', 'text': '@everyone'}, '\n\nExchange : ', {'type': 'link', 'text': 'Kucoin.com'}, '\nPairing : USDT\n\n', {'type': 'bold', 'text': 'Make sure you have your USDT available!'}, '\nLog in early and make sure everything is ready.\n\nWe expect a fantastic pump today. With more users and more outsiders than ever before making this the biggest pump we have ever done. Markets are fantastic for a pump today with altcoins ready to explode. Follow the how-to-pump and you are sure to profit.\nWe have shattered our expected gain to as high as 47,000% and gained volume each pump to over $3.6 million. The projected gain range for today will be posted 2 min before the pump, you should sell in that range unless you are a seasoned pro ready to take added risks for extreme profit. The eyes of the entire pumping world are on us and soon so will be the eyes of every kucoin user. Be ready for the most massive pump ever done.']",,,,
