date,text,Pump,Exchange,Coin,Notes
2018-08-26T22:21:56,,,,,
2018-08-28T08:20:36,"After continuous successful pumping on 🐳 Cryptopia...👉on high demand..👈we r going to pump on 💃CRYPTOPIA👈 again,, also...as we signalled ✨@ low level .✨.n giving ample opportunity for everyone..to make profit...we always 💫Re-pump our Coins💫..to check 100% profit for our subs..🌟So here is pump announcement on your demand👇👇👇👇👇👇👇

ℹ️ Coin Signal  info ℹ️
Exchange : 👉Cryptopia👈
Date:28/8/2018
Day: Tuesday
Time: 5 PM GMT",,,,
2018-08-28T11:22:27,"['❗ READ INSTRUCTIONS BELOW❗\n\n1) Sign up to Cryptopia and send your BTC to your wallet today.\n', {'type': 'link', 'text': 'https://www.cryptopia.co.nz/'}, ""\n👆👆👆\nℹ Information for today's Pump ℹ\n\n1)I will post a signal at exactly 5  PM GMT\n\nThis will be for a low market cap coin in\xa0Cryptopia. The reason for this is for a bigger percentage rise for all of you! You will want to have your BTC available in your account to buy well before the signal. Make sure you are at your computer at least 20 minutes before to enable enough time to be prepared, I recommend setting a phone reminder or alarm so you do not miss this.\n\n2)After announcing the coin here, we will all buy in as quickly as possible. It is important to buy fast, before I enticing outside investors to get in on it.\n\n3)Once we have bought in and the price has stabilized, it is important to HOLD and not dump on our other members. This is when myself and you can help promote the coin to attract outside investment, which will cause the coin to grow more and allow all of us to sell slowly at a good profit.\n\n4)We are going to hold for at least 15 minutes or longer. After that we can sell. But NEVER sell it under the actual price, otherwise it will lead to a dump. Sell it in pieces not in bulks!\nMake sure you understand the process and how to trade on cryptopia.\n\nℹ️ Our recent results have had huge volume and big rises. Be sure not to miss it. 💃\n\nHere are the instructions for any new members. Today's coin offers an opportunity for all members to invest! \n\nℹ️ 8 hours until the coin to buy is released. ℹ️\n \nℹ️ Be ready to buy at low level with us ℹ️\n\nℹ️  Coin Signal information ℹ️\n\nExchange: Cryptopia\nDate: "", {'type': 'phone', 'text': '28-08-2018'}, "" ( Tuesday)\nTime: 5 PM GMT\n\nℹ️ A very popular trade coin will be chosen for us all to buy at the same time today at 👉low level👈. You won't want to miss this one! ℹ️\n\nJoin also here 👇👇\n"", {'type': 'link', 'text': 'https://t.me/joinchat/AAAAAEb8VjtfxIgoCEr8aA'}, '']",,,,
2018-08-28T16:00:01,"['ℹ️ 3 HOURS UNTIL THE COIN TO BUY IS RELEASED ℹ️\nExchange: ', {'type': 'hashtag', 'text': '#Cryptopia'}, '--- ', {'type': 'link', 'text': 'https://www.cryptopia.co.nz/'}, '\n\nTime: 5 PM GMT\n\nRead the instructions above and be ready🤑\n\nJoin also whales group\n👇\n', {'type': 'link', 'text': 'https://t.me/joinchat/AAAAAEb8VjtfxIgoCEr8aA'}, '']",,,,
2018-08-28T17:30:05,"['ℹ️ 🚨1 HOUR 30 MINS🚨 UNTIL THE COIN TO BUY IS RELEASED ℹ️\nExchange: ', {'type': 'hashtag', 'text': '#Cryptopia'}, '\n\nTime: 5 PM GMT\n\nRead the instructions above and be ready🤑\n\nJoin also whales group\n👇\n', {'type': 'link', 'text': 'https://t.me/joinchat/AAAAAEb8VjtfxIgoCEr8aA'}, '']",,,,
2018-08-28T18:30:01,"['ℹ️ 30 minutes ℹ️\n\nStart getting logged in  ', {'type': 'link', 'text': 'https://www.cryptopia.co.nz'}, ' now!']",,,,
2018-08-28T18:40:02,"['ℹ️ 20 minutes ℹ️\n\nSo close now make sure you are ready to buy coin on ', {'type': 'link', 'text': 'https://www.cryptopia.co.nz'}, '']",,,,
2018-08-28T18:50:04,"ℹ️ 10 minutes ℹ️

Get ready with your Cryptopia account~
👉Coin is @ low level buy with us🤑🤑🤑👈",,,,
2018-08-28T18:55:01,"ℹ️ 5 minutes ℹ️

The next post will be the Coin to buy on Cryptopia",,,,
2018-08-28T19:00:03,"['The coin to pump is: 💎 BNC 💎 \n\nExchange: Cryptopia.co.nz📊\n\nTarget: +500%   📈 \n\nMarket: BNC/BTC\n\n', {'type': 'link', 'text': 'https://www.cryptopia.co.nz/Exchange/?market=BNC_BTC'}, '']",1,cryptopia,bnc/btc,
