date,text,Pump,Exchange,Coin,Notes
2020-07-15T17:57:51,,,,,
2020-07-15T17:59:29,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 11 hour 💰👇'}, '']",,,,
2020-07-15T17:59:55,"[{'type': 'hashtag', 'text': '#LTO'}, '\nBuy zone 550-565\nSell zone 595-630-660-730+']",,,,
2020-07-15T18:00:13,"[{'type': 'hashtag', 'text': '#LTO'}, ' hit 620✅']",,,,
2020-07-15T18:01:10,"[{'type': 'hashtag', 'text': '#LTO'}, ' result \n1st target achieved within 11 hour ✅\n', {'type': 'bold', 'text': '\nOne more quick profit 10%💰🤑'}, '\n\n👉 More quick profit signals available in premium channel.  Hurry up 🏃\u200d♂👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-07-15T18:02:07,"[{'type': 'hashtag', 'text': '#lto'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-08T13:07:15,,,,,
2020-08-08T13:07:30,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 2 days 💰👇'}, '']",,,,
2020-08-08T13:08:01,"[{'type': 'hashtag', 'text': '#OAX'}, ' rebuy\nBuy zone 534-550\nSell zone 572-601-658-744+']",,,,
2020-08-08T13:09:23,"[{'type': 'hashtag', 'text': '#oax'}, ' hit 625✅✅']",,,,
2020-08-08T13:12:13,"[{'type': 'hashtag', 'text': '#oax'}, ' result \n2nd target achieved within 2 days✅✅\n\nOne more huge profit 27%💰', {'type': 'bold', 'text': '💰🤑🤑\n'}, '\n👉 The longer you wait more you lose profit. Hurry up 🏃\u200d♂👇\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn huge with us']",,,,
2020-08-08T13:12:49,"[{'type': 'hashtag', 'text': '#oax'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-08T13:13:18,,,,,
2020-08-08T13:13:30,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 4 days 💰👇'}, '']",,,,
2020-08-08T13:14:01,"[{'type': 'hashtag', 'text': '#XVG'}, '\nBuy zone 70-72\nSell zone 77-81-89-101+']",,,,
2020-08-08T13:14:06,"[{'type': 'hashtag', 'text': '#XVG'}, ' hit 85✅✅']",,,,
2020-08-08T13:41:59,"[{'type': 'hashtag', 'text': '#XVG'}, ' result update \n2nd target achieved within 4 days✅✅\n\n', {'type': 'bold', 'text': 'One more profit 21%💰'}, '💰🤑🤑\n\n👉 Join premium and daily profit 👇\n\n☎️ Contact  ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-08T13:42:26,"[{'type': 'hashtag', 'text': '#xvg'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-08T13:42:37,,,,,
2020-08-08T13:42:49,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 34 minutes  💰👇'}, '']",,,,
2020-08-08T13:43:00,"[{'type': 'hashtag', 'text': '#POA'}, '\nBuy zone 128-134\nSell zone 140-148-160-175+']",,,,
2020-08-08T13:43:02,"[{'type': 'hashtag', 'text': '#POA'}, ' hit 140✅']",,,,
2020-08-08T13:59:17,"[{'type': 'hashtag', 'text': '#POA'}, ' result \n1st target achieved within 34 minutes ✅\n\nOne more very quick profit 5%💰🤑\n\n👉 More quick profit signals just added in premium channel. Hurry up 🏃\u200d♂👇\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-08T14:01:49,"[{'type': 'hashtag', 'text': '#poa'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-08T14:02:41,,,,,
